# t 	  E 	 I 	 EA 	 IA 	 

4.82 	 1.55 	 0.43 	 1.00 	 0.00 

4.84 	 1.55 	 0.44 	 1.00 	 0.00 

4.86 	 1.56 	 0.44 	 1.00 	 0.00 

4.88 	 1.56 	 0.44 	 1.00 	 0.00 

4.90 	 1.57 	 0.44 	 1.00 	 0.00 

4.92 	 1.57 	 0.44 	 1.00 	 0.00 

4.94 	 1.58 	 0.44 	 1.00 	 0.00 

4.96 	 1.59 	 0.45 	 1.00 	 0.00 

4.98 	 1.59 	 0.45 	 1.00 	 0.00 

5.00 	 1.60 	 0.45 	 1.00 	 0.00 

5.02 	 1.60 	 0.45 	 1.00 	 0.00 

5.04 	 1.61 	 0.45 	 1.00 	 0.00 

5.06 	 1.61 	 0.45 	 1.00 	 0.00 

5.08 	 1.62 	 0.46 	 1.00 	 0.00 

5.10 	 1.62 	 0.46 	 1.00 	 0.00 

5.12 	 1.63 	 0.46 	 1.00 	 0.00 

5.14 	 1.64 	 0.46 	 1.00 	 0.00 

5.16 	 1.64 	 0.46 	 1.00 	 0.00 

5.18 	 1.65 	 0.46 	 1.00 	 0.00 

5.20 	 1.65 	 0.47 	 1.00 	 0.00 

5.22 	 1.66 	 0.47 	 1.00 	 0.00 

5.24 	 1.66 	 0.47 	 1.00 	 0.00 

5.26 	 1.67 	 0.47 	 1.00 	 0.00 

5.28 	 1.68 	 0.47 	 1.00 	 0.00 

5.30 	 1.68 	 0.47 	 1.00 	 0.00 

5.32 	 1.69 	 0.48 	 1.00 	 0.00 

5.34 	 1.69 	 0.48 	 1.00 	 0.00 

5.36 	 1.70 	 0.48 	 1.00 	 0.00 

5.38 	 1.71 	 0.48 	 1.00 	 0.00 

5.40 	 1.71 	 0.48 	 1.00 	 0.00 

5.42 	 1.72 	 0.48 	 1.00 	 0.00 

5.44 	 1.72 	 0.49 	 1.00 	 0.00 

5.46 	 1.73 	 0.49 	 1.00 	 0.00 

5.48 	 1.74 	 0.49 	 1.00 	 0.00 

5.50 	 1.74 	 0.49 	 1.00 	 0.00 

5.52 	 1.75 	 0.49 	 1.00 	 0.00 

5.54 	 1.75 	 0.50 	 1.00 	 0.00 

5.56 	 1.76 	 0.50 	 1.00 	 0.00 

5.58 	 1.77 	 0.50 	 1.00 	 0.00 

5.60 	 1.77 	 0.50 	 1.00 	 0.00 

5.62 	 1.78 	 0.50 	 1.00 	 0.00 

5.64 	 1.78 	 0.50 	 1.00 	 0.00 

5.66 	 1.79 	 0.51 	 1.00 	 0.00 

5.68 	 1.80 	 0.51 	 1.00 	 0.00 

5.70 	 1.80 	 0.51 	 1.00 	 0.00 

5.72 	 1.81 	 0.51 	 1.00 	 0.00 

5.74 	 1.82 	 0.51 	 1.00 	 0.00 

5.76 	 1.82 	 0.52 	 1.00 	 0.00 

5.78 	 1.83 	 0.52 	 1.00 	 0.00 

5.80 	 1.84 	 0.52 	 1.00 	 0.00 

5.82 	 1.84 	 0.52 	 1.00 	 0.00 

5.84 	 1.85 	 0.52 	 1.00 	 0.00 

5.86 	 1.85 	 0.52 	 1.00 	 0.00 

5.88 	 1.86 	 0.53 	 1.00 	 0.00 

5.90 	 1.87 	 0.53 	 1.00 	 0.00 

5.92 	 1.87 	 0.53 	 1.00 	 0.00 

5.94 	 1.88 	 0.53 	 1.00 	 0.00 

5.96 	 1.89 	 0.53 	 1.00 	 0.00 

5.98 	 1.89 	 0.54 	 1.00 	 0.00 

6.00 	 1.90 	 0.54 	 1.00 	 0.00 

6.02 	 1.91 	 0.54 	 1.00 	 0.00 

6.04 	 1.91 	 0.54 	 1.00 	 0.00 

6.06 	 1.92 	 0.54 	 1.00 	 0.00 

6.08 	 1.93 	 0.55 	 1.00 	 0.00 

6.10 	 1.93 	 0.55 	 1.00 	 0.00 

6.12 	 1.94 	 0.55 	 1.00 	 0.00 

6.14 	 1.95 	 0.55 	 1.00 	 0.00 

6.16 	 1.95 	 0.55 	 1.00 	 0.00 

6.18 	 1.96 	 0.56 	 1.00 	 0.00 

6.20 	 1.97 	 0.56 	 1.00 	 0.00 

6.22 	 1.97 	 0.56 	 1.00 	 0.00 

6.24 	 1.98 	 0.56 	 1.00 	 0.00 

6.26 	 1.99 	 0.56 	 1.00 	 0.00 

6.28 	 2.00 	 0.57 	 1.00 	 0.00 

6.30 	 2.00 	 0.57 	 1.00 	 0.00 

6.32 	 2.01 	 0.57 	 1.00 	 0.00 

6.34 	 2.02 	 0.57 	 1.00 	 0.00 

6.36 	 2.02 	 0.57 	 1.00 	 0.00 

6.38 	 2.03 	 0.58 	 1.00 	 0.00 

6.40 	 2.04 	 0.58 	 1.00 	 0.00 

6.42 	 2.04 	 0.58 	 1.00 	 0.00 

6.44 	 2.05 	 0.58 	 1.00 	 0.00 

6.46 	 2.06 	 0.58 	 1.00 	 0.00 

6.48 	 2.07 	 0.59 	 1.00 	 0.00 

6.50 	 2.07 	 0.59 	 1.00 	 0.00 

6.52 	 2.08 	 0.59 	 1.00 	 0.00 

6.54 	 2.09 	 0.59 	 1.00 	 0.00 

6.56 	 2.10 	 0.59 	 1.00 	 0.00 

6.58 	 2.10 	 0.60 	 1.00 	 0.00 

6.60 	 2.11 	 0.60 	 1.00 	 0.00 

6.62 	 2.12 	 0.60 	 1.00 	 0.00 

6.64 	 2.12 	 0.60 	 1.00 	 0.00 

6.66 	 2.13 	 0.61 	 1.00 	 0.00 

6.68 	 2.14 	 0.61 	 1.00 	 0.00 

6.70 	 2.15 	 0.61 	 1.00 	 0.00 

6.72 	 2.15 	 0.61 	 1.00 	 0.00 

6.74 	 2.16 	 0.61 	 1.00 	 0.00 

6.76 	 2.17 	 0.62 	 1.00 	 0.00 

6.78 	 2.18 	 0.62 	 1.00 	 0.00 

6.80 	 2.18 	 0.62 	 1.00 	 0.00 

6.82 	 2.19 	 0.62 	 1.00 	 0.00 

6.84 	 2.20 	 0.62 	 1.00 	 0.00 

6.86 	 2.21 	 0.63 	 1.00 	 0.00 

6.88 	 2.21 	 0.63 	 1.00 	 0.00 

6.90 	 2.22 	 0.63 	 1.00 	 0.00 

6.92 	 2.23 	 0.63 	 1.00 	 0.00 

6.94 	 2.24 	 0.64 	 1.00 	 0.00 

6.96 	 2.25 	 0.64 	 1.00 	 0.00 

6.98 	 2.25 	 0.64 	 1.00 	 0.00 

7.00 	 2.26 	 0.64 	 1.00 	 0.00 

7.02 	 2.27 	 0.64 	 1.00 	 0.00 

7.04 	 2.28 	 0.65 	 1.00 	 0.00 

7.06 	 2.28 	 0.65 	 1.00 	 0.00 

7.08 	 2.29 	 0.65 	 1.00 	 0.00 

7.10 	 2.30 	 0.65 	 1.00 	 0.00 

7.12 	 2.31 	 0.66 	 1.00 	 0.00 

